['AndroidXIntDef', 130, 'ankidroid-Anki_Android', '2.0.0']
['AndroidXLayoutRes', 114, 'AdrienPoupa-VinylMusicPlayer', '2.0.0']
['AndroidXGuardedBy', 100, 'k9mail-k_9', '2.0.0']
['AndroidXIdRes', 86, 'AndreAle94-moneywallet', '2.0.0']
['AndroidXRestrictTo', 75, 'k9mail-k_9', '2.0.0']
['AndroidXCheckResult', 74, 'ankidroid-Anki_Android', '2.0.0']
['AndroidXCallSuper', 65, 'AndreAle94-moneywallet', '2.0.0']
['AndroidXKeep', 62, 'BiglySoftware-BiglyBT_Android', '2.0.0']
['AndroidXStyleRes', 59, 'AdrienPoupa-VinylMusicPlayer', '2.0.0']
['AndroidXColorRes', 55, 'AndreAle94-moneywallet', '2.0.0']
['AndroidXAttrRes', 54, 'AntennaPod-AntennaPod', '2.0.0']
['AndroidXPx', 41, 'lexica-lexica', '2.0.0']
['AndroidXIntRange', 38, 'AdrienPoupa-VinylMusicPlayer', '2.0.0']
['AndroidXMenuRes', 36, 'AdrienPoupa-VinylMusicPlayer', '2.0.0']
['AndroidXFloatRange', 29, 'AdrienPoupa-VinylMusicPlayer', '2.0.0']
['AndroidXDimenRes', 17, 'BiglySoftware-BiglyBT_Android', '2.0.0']
['AndroidXArrayRes', 14, 'beemdevelopment-Aegis', '2.0.0']
['AndroidXStringDef', 14, 'AdrienPoupa-VinylMusicPlayer', '2.0.0']
['AndroidXStyleableRes', 12, 'lexica-lexica', '2.0.0']
['AndroidXAnyRes', 5, 'BiglySoftware-BiglyBT_Android', '2.0.0']
['AndroidXRawRes', 4, 'mozilla_mobile-focus_android', '2.0.0']
['AndroidXXmlRes', 4, 'farmerbb-Taskbar', '2.0.0']
['AndroidXPluralsRes', 4, 'ankidroid-Anki_Android', '2.0.0']
['AndroidXBoolRes', 3, 'snikket_im-snikket_android', '2.0.0']
['AndroidXRequiresPermission', 3, 'fossasia-open_event_organizer_android', '2.0.0']
['AndroidXDimension', 2, 'TeamNewPipe-NewPipe', '2.0.0']
['AndroidXFontRes', 2, 'Catrobat-Paintroid', '2.0.0']
['AndroidXIntegerRes', 1, 'snikket_im-snikket_android', '2.0.0']
['AndroidXContentView', 1, 'Nonononoki-Hendroid', '2.0.0']
['AndroidXNavigationRes', 1, 'austinhuang0131-instagrabber', '2.0.0']
['AndroidXAnimRes', 1, 'AsteroidOS-AsteroidOSSync', '2.0.0']
['AndroidXRequiresApi', 1, '92lleo-WhatsappWebToGo', '2.0.0']
